gene,cell_type,union_bait,union_nBait,npc_bait,npc_nBait,exn_bait,exn_nBait,ADHD_20,ADHD_GWAS,ASD_72,ASD_185,DD_309,DD_477,NDD_373,NDD_664,SCZ_10,SCZ_32,fc_fdr_source
CORO1C,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
CORO2A,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
CORO2B,Both,ANK2,1,ANK2,1,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
CRABP1,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
CTNNA1,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
CTNNA2,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,True,False,False,True,True,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
CTNNB1,NPC,ANK2,1,ANK2,1,NA,0,False,False,True,True,True,True,True,True,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
CTTN,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
CYTH3,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
DAPK1,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
DBN1,Both,ANK2,1,ANK2,1,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
DYNC1H1,ExN,ANK2,1,NA,0,ANK2,1,False,False,True,True,True,True,True,True,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
DYNLL2,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
EEF1A1,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
EEF1A1P5,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
ENO1,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
EPB41L3,Both,"ANK2,MAP1A",2,ANK2,1,"ANK2,MAP1A",2,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
FMNL2,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
FSCN1,Both,ANK2,1,ANK2,1,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
GABARAPL2,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
GAP43,Both,ANK2,1,ANK2,1,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
GAPDH,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
GAS2L3,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
GNAO1,Both,ANK2,1,ANK2,1,ANK2,1,False,False,False,False,True,True,True,True,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
GNAQ,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
GNAS,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,True,True,True,True,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
GNB1,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,True,True,True,True,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
GNG2,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
HIST2H2BE,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
HNRNPA1,NPC,"ANK2,MAP1A",2,"ANK2,MAP1A",2,MAP1A,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
HNRNPM,Both,ANK2,1,ANK2,1,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
HP1BP3,ExN,"ANK2,MAP1A",2,NA,0,"ANK2,MAP1A",2,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
HRAS,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,True,True,True,True,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
HSP90AB1,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,True,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
HSPA1A,ExN,"ANK2,MAP1A",2,MAP1A,1,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
HSPA5,ExN,"ANK2,MAP1A",2,MAP1A,1,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
HSPA8,ExN,"ANK2,MAP1A",2,MAP1A,1,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
IGF2BP1,ExN,"ANK2,MAP1A",2,MAP1A,1,"ANK2,MAP1A",2,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
IGHG2,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
IGKV2-40,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
IGLL5,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
IGLV2-8,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
INA,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
JUP,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
KRT2,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
L1CAM,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
LRRFIP2,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
LSAMP,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
MACF1,Both,ANK2,1,ANK2,1,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
MAP1B,Both,"ANK2,MAP1A",2,"ANK2,MAP1A",2,"ANK2,MAP1A",2,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
MAP6,ExN,"ANK2,MAP1A",2,NA,0,"ANK2,MAP1A",2,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
MOCS2,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
MPRIP,Both,ANK2,1,ANK2,1,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
MYH10,Both,ANK2,1,ANK2,1,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
MYH9,Both,ANK2,1,ANK2,1,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
MYL12B,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
MYL6,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
MYL6B,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
MYO18A,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,True,False,False,False,True,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
MYO1B,Both,ANK2,1,ANK2,1,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
MYO5A,Both,ANK2,1,ANK2,1,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
NAP1L1,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
NCL,ExN,"ANK2,MAP1A",2,MAP1A,1,"ANK2,MAP1A",2,False,False,False,False,False,True,False,True,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
NEFL,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
NEFM,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
NONO,ExN,"ANK2,MAP1A",2,MAP1A,1,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
NPM1,Both,"ANK2,ANO8,MAP1A",3,"ANK2,ANO8,MAP1A",3,"ANK2,MAP1A",2,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
PABPC3,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
PGAM5,ExN,"ANK2,MAP1A",2,NA,0,"ANK2,MAP1A",2,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
PLEKHA5,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
PLXDC2,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
PPIA,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
PPP1CA,Both,ANK2,1,ANK2,1,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
PPP1CB,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,True,True,True,True,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
PPP1R12A,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
PPP1R18,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
PPP1R9A,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
PPP1R9B,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,True,False,False,False,True,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
PRDX1,Both,ANK2,1,ANK2,1,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
PRPF8,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,True,True,True,True,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
PRPH,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
PRR36,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
PSD2,Both,ANK2,1,ANK2,1,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
RABL6,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
RAC1,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,True,True,True,True,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
RAI14,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
RFC1,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
RPL10A,ExN,"ANK2,MAP1A",2,MAP1A,1,"ANK2,MAP1A",2,False,False,False,False,False,True,False,True,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
RPL14,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
RPL18,ExN,"ANK2,MAP1A",2,MAP1A,1,"ANK2,MAP1A",2,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
RPL18A,ExN,"ANK2,MAP1A",2,NA,0,"ANK2,MAP1A",2,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
RPL27,ExN,"ANK2,MAP1A",2,MAP1A,1,"ANK2,MAP1A",2,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
RPL34,ExN,"ANK2,MAP1A",2,NA,0,"ANK2,MAP1A",2,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
RPL6,ExN,"ANK2,MAP1A",2,MAP1A,1,"ANK2,MAP1A",2,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
RPL7,ExN,"ANK2,MAP1A",2,MAP1A,1,"ANK2,MAP1A",2,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
RPLP2,NPC,"ANK2,MAP1A",2,"ANK2,MAP1A",2,MAP1A,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
RPUSD3,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
RRBP1,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
RTN4RL2,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,True,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
RTP1,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
SF3B1,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,True,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
SIPA1L3,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
SNX9,ExN,ANK2,1,NA,0,ANK2,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
SOGA3,NPC,"ANK2,MAP1A",2,ANK2,1,MAP1A,1,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
SPECC1L,NPC,ANK2,1,ANK2,1,NA,0,False,False,False,False,False,False,False,False,False,False,FC/FDR not provided for ANK2 networks in Demontis PPI Tables; ANK2 IP-MS from published Table S2 of ref 27
